,Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains,Year
41,24-03-2021,Anupam Rasayan,760,30.8,62.06,4.62,555,534.7,525.9,-5.24,791.25,42.57,2021
42,19-03-2021,Easy Trip,510,0,2.79,14.48,187,182,208.3,11.39,502,168.45,2021
43,15-03-2021,MTAR Tech,596.41,52.01,522.35,12.78,575,990.05,1082.25,88.22,"2,320.00",303.48,2021
44,05-03-2021,Heranba,60,25.98,108.72,4.82,627,900,812.25,29.55,685,9.25,2021
45,26-02-2021,Railtel,819.24,22.03,51.4,7.08,94,109,121.4,29.15,118.75,26.33,2021
46,25-02-2021,Nureca,100,0.24,17.1,74.29,400,634.95,666.65,66.66,"1,531.25",282.81,2021
47,05-02-2021,Stove Kraft,412.63,8.02,32.72,26.04,385,498,445.95,15.83,950.7,146.94,2021
48,03-02-2021,Home First,1153.72,52.53,39,6.59,518,612.15,527.4,1.81,850,64.09,2021
49,02-02-2021,Indigo Paints,1170.56,96.21,115.76,6.5,1490,2607.5,3118.65,109.31,"2,190.75",47.03,2021
50,29-01-2021,IRFC,4633,0.89,0.52,1.59,26,25,24.85,-4.42,23.35,-10.19,2021
51,01-01-2021,Antony Waste,300.53,0.64,0.28,7.22,315,430,407.25,29.29,285.65,-9.32,2021
52,24-12-2020,Bectors Food,540.54,176.85,620.86,29.33,288,501,595.55,106.79,390.15,35.47,2020
53,14-12-2020,Burger King,796.5,86.64,354.11,68.15,60,115.35,138.4,130.67,149.65,149.42,2020
54,20-11-2020,Gland,6479.55,6.4,0.51,0.24,1500,1710,1820.45,21.36,"3,600.95",140.06,2020
55,02-11-2020,Equitas Bank,517.6,3.91,0.22,2.08,33,31,32.75,-0.76,61.35,85.91,2020
56,12-10-2020,Mazagon Dock,443.69,89.71,678.88,35.63,145,216.25,173,19.31,266.1,83.52,2020
57,12-10-2020,UTI AMC,2159.88,3.34,0.93,2.32,554,476.2,476.6,-13.97,"1,033.20",86.5,2020
58,05-10-2020,Angel One,600,5.74,0.69,4.31,306,275,275.85,-9.85,"1,131.10",269.64,2020
59,01-10-2020,Chemcon Special,318,113.54,449.14,41.21,340,731,584.8,72,365.65,7.54,2020
60,01-10-2020,CAMS,2244.33,73.18,111.85,5.55,1230,1535,1401.6,13.95,"2,945.90",139.5,2020
61,21-09-2020,Route,600,89.76,192.81,12.67,350,708,651.1,86.03,"1,767.95",405.13,2020
62,17-09-2020,Happiest Minds ,702.02,77.43,351.46,70.94,166,351,371,123.49,"1,342.40",708.67,2020
63,23-07-2020,Rossari,496.25,2.75,4.34,2.51,425,670,742.35,74.67,"1,302.00",206.35,2020
64,16-03-2020,SBI Card,10286.2,57.18,45.23,2.5,755,658,683.2,-9.51,986.65,30.68,2020
65,30-12-2019,Prince Pipes,500,3.54,1.21,1.89,178,160,166.6,-6.4,742.15,316.94,2019
66,12-12-2019,Ujjivan Small,750,110.72,473,49.09,37,58.75,55.9,51.08,19.4,-47.57,2019
67,04-12-2019,CSB Bank,409.68,38.85,45.49,9.01,195,275,300.1,53.9,267,36.92,2019
68,14-10-2019,IRCTC,635.04,108.79,354.52,14.94,320,644,145.72,-54.46,811,153.44,2019
69,20-08-2019,Sterling & Wils,3125,1.02,0.89,0.3,780,700,725.35,-7.01,396.15,-49.21,2019
70,04-07-2019,Indiamart Inter,474.12,30.83,62.13,14.07,973,1180,1302.55,33.87,"7,098.30",629.53,2019
71,08-05-2019,Neogen,131.48,30.49,113.88,16.06,0,251,263.55,0,"1,707.85",,2019
72,15-04-2019,Metropolis,1200.18,8.88,3.03,2.21,880,960,959.55,9.04,"3,350.45",280.73,2019
73,11-04-2019,Rail Vikas,430.88,1.36,0.8,2.92,19,19,19.05,0.26,34.8,83.16,2019
74,01-04-2019,Embassy Office,4750,2.15,3.09,0.31,300,300,314.1,4.7,361.6,20.53,2019
75,29-03-2019,MSTC,213.81,1.13,2.15,2.95,128,111,114.2,-10.78,344.75,169.34,2019
76,07-02-2019,Chalet Hotels,1628.84,4.66,1.1,0.03,280,291,290.4,3.71,228.4,-18.43,2019
77,04-02-2019,Xelpmoc Design ,23,1.24,7.69,2.64,66,56,58.8,-10.91,385.75,484.47,2019
