stock_name,Basic EPS (Rs.)_yr1,Basic EPS (Rs.)_yr2,Basic EPS (Rs.)_yr3,Basic EPS (Rs.)_yr4,Basic EPS (Rs.)_yr5,Diluted EPS (Rs.)_yr1,Diluted EPS (Rs.)_yr2,Diluted EPS (Rs.)_yr3,Diluted EPS (Rs.)_yr4,Diluted EPS (Rs.)_yr5,Cash EPS (Rs.)_yr1,Cash EPS (Rs.)_yr2,Cash EPS (Rs.)_yr3,Cash EPS (Rs.)_yr4,Cash EPS (Rs.)_yr5,Book Value [ExclRevalReserve]/Share (Rs.)_yr1,Book Value [ExclRevalReserve]/Share (Rs.)_yr2,Book Value [ExclRevalReserve]/Share (Rs.)_yr3,Book Value [ExclRevalReserve]/Share (Rs.)_yr4,Book Value [ExclRevalReserve]/Share (Rs.)_yr5,Book Value [InclRevalReserve]/Share (Rs.)_yr1,Book Value [InclRevalReserve]/Share (Rs.)_yr2,Book Value [InclRevalReserve]/Share (Rs.)_yr3,Book Value [InclRevalReserve]/Share (Rs.)_yr4,Book Value [InclRevalReserve]/Share (Rs.)_yr5,Dividend / Share(Rs.)_yr1,Dividend / Share(Rs.)_yr2,Dividend / Share(Rs.)_yr3,Dividend / Share(Rs.)_yr4,Dividend / Share(Rs.)_yr5,Revenue from Operations/Share (Rs.)_yr1,Revenue from Operations/Share (Rs.)_yr2,Revenue from Operations/Share (Rs.)_yr3,Revenue from Operations/Share (Rs.)_yr4,Revenue from Operations/Share (Rs.)_yr5,PBDIT/Share (Rs.)_yr1,PBDIT/Share (Rs.)_yr2,PBDIT/Share (Rs.)_yr3,PBDIT/Share (Rs.)_yr4,PBDIT/Share (Rs.)_yr5,PBIT/Share (Rs.)_yr1,PBIT/Share (Rs.)_yr2,PBIT/Share (Rs.)_yr3,PBIT/Share (Rs.)_yr4,PBIT/Share (Rs.)_yr5,PBT/Share (Rs.)_yr1,PBT/Share (Rs.)_yr2,PBT/Share (Rs.)_yr3,PBT/Share (Rs.)_yr4,PBT/Share (Rs.)_yr5,Net Profit/Share (Rs.)_yr1,Net Profit/Share (Rs.)_yr2,Net Profit/Share (Rs.)_yr3,Net Profit/Share (Rs.)_yr4,Net Profit/Share (Rs.)_yr5,PBDIT Margin (%)_yr1,PBDIT Margin (%)_yr2,PBDIT Margin (%)_yr3,PBDIT Margin (%)_yr4,PBDIT Margin (%)_yr5,PBIT Margin (%)_yr1,PBIT Margin (%)_yr2,PBIT Margin (%)_yr3,PBIT Margin (%)_yr4,PBIT Margin (%)_yr5,PBT Margin (%)_yr1,PBT Margin (%)_yr2,PBT Margin (%)_yr3,PBT Margin (%)_yr4,PBT Margin (%)_yr5,Net Profit Margin (%)_yr1,Net Profit Margin (%)_yr2,Net Profit Margin (%)_yr3,Net Profit Margin (%)_yr4,Net Profit Margin (%)_yr5,Return on Networth / Equity (%)_yr1,Return on Networth / Equity (%)_yr2,Return on Networth / Equity (%)_yr3,Return on Networth / Equity (%)_yr4,Return on Networth / Equity (%)_yr5,Return on Capital Employed (%)_yr1,Return on Capital Employed (%)_yr2,Return on Capital Employed (%)_yr3,Return on Capital Employed (%)_yr4,Return on Capital Employed (%)_yr5,Return on Assets (%)_yr1,Return on Assets (%)_yr2,Return on Assets (%)_yr3,Return on Assets (%)_yr4,Return on Assets (%)_yr5,Total Debt/Equity (X)_yr1,Total Debt/Equity (X)_yr2,Total Debt/Equity (X)_yr3,Total Debt/Equity (X)_yr4,Total Debt/Equity (X)_yr5,Asset Turnover Ratio (%)_yr1,Asset Turnover Ratio (%)_yr2,Asset Turnover Ratio (%)_yr3,Asset Turnover Ratio (%)_yr4,Asset Turnover Ratio (%)_yr5,Current Ratio (X)_yr1,Current Ratio (X)_yr2,Current Ratio (X)_yr3,Current Ratio (X)_yr4,Current Ratio (X)_yr5,Quick Ratio (X)_yr1,Quick Ratio (X)_yr2,Quick Ratio (X)_yr3,Quick Ratio (X)_yr4,Quick Ratio (X)_yr5,Inventory Turnover Ratio (X)_yr1,Inventory Turnover Ratio (X)_yr2,Inventory Turnover Ratio (X)_yr3,Inventory Turnover Ratio (X)_yr4,Inventory Turnover Ratio (X)_yr5,Dividend Payout Ratio (NP) (%)_yr1,Dividend Payout Ratio (NP) (%)_yr2,Dividend Payout Ratio (NP) (%)_yr3,Dividend Payout Ratio (NP) (%)_yr4,Dividend Payout Ratio (NP) (%)_yr5,Dividend Payout Ratio (CP) (%)_yr1,Dividend Payout Ratio (CP) (%)_yr2,Dividend Payout Ratio (CP) (%)_yr3,Dividend Payout Ratio (CP) (%)_yr4,Dividend Payout Ratio (CP) (%)_yr5,Earnings Retention Ratio (%)_yr1,Earnings Retention Ratio (%)_yr2,Earnings Retention Ratio (%)_yr3,Earnings Retention Ratio (%)_yr4,Earnings Retention Ratio (%)_yr5,Cash Earnings Retention Ratio (%)_yr1,Cash Earnings Retention Ratio (%)_yr2,Cash Earnings Retention Ratio (%)_yr3,Cash Earnings Retention Ratio (%)_yr4,Cash Earnings Retention Ratio (%)_yr5,Enterprise Value (Cr.)_yr1,Enterprise Value (Cr.)_yr2,Enterprise Value (Cr.)_yr3,Enterprise Value (Cr.)_yr4,Enterprise Value (Cr.)_yr5,EV/Net Operating Revenue (X)_yr1,EV/Net Operating Revenue (X)_yr2,EV/Net Operating Revenue (X)_yr3,EV/Net Operating Revenue (X)_yr4,EV/Net Operating Revenue (X)_yr5,EV/EBITDA (X)_yr1,EV/EBITDA (X)_yr2,EV/EBITDA (X)_yr3,EV/EBITDA (X)_yr4,EV/EBITDA (X)_yr5,MarketCap/Net Operating Revenue (X)_yr1,MarketCap/Net Operating Revenue (X)_yr2,MarketCap/Net Operating Revenue (X)_yr3,MarketCap/Net Operating Revenue (X)_yr4,MarketCap/Net Operating Revenue (X)_yr5,Retention Ratios (%)_yr1,Retention Ratios (%)_yr2,Retention Ratios (%)_yr3,Retention Ratios (%)_yr4,Retention Ratios (%)_yr5,Price/BV (X)_yr1,Price/BV (X)_yr2,Price/BV (X)_yr3,Price/BV (X)_yr4,Price/BV (X)_yr5,Price/Net Operating Revenue_yr1,Price/Net Operating Revenue_yr2,Price/Net Operating Revenue_yr3,Price/Net Operating Revenue_yr4,Price/Net Operating Revenue_yr5,Earnings Yield_yr1,Earnings Yield_yr2,Earnings Yield_yr3,Earnings Yield_yr4,Earnings Yield_yr5
Latent View Analytics Ltd.,5.82,4.15,3.98,3,59.21,5.75,4.01,3.79,2.81,59.21,6.08,4.14,90.75,70.05,62.3,48.01,42.69,399.89,317.08,253.96,48.01,42.69,399.89,317.08,253.96,0,0,0,0,0,12.88,10.32,176.12,153.52,142.76,7.79,5.31,114.15,86.2,71.41,7.43,4.96,106.83,79.13,68.31,7.3,4.82,103.71,75.66,68.21,5.72,3.79,83.43,62.97,59.19,60.46,51.48,64.81,56.15,50.02,57.65,48.08,60.65,51.54,47.84,56.66,46.68,58.88,49.28,47.78,44.41,36.7,47.37,41.01,41.46,11.91,8.86,20.86,19.86,23.3,15.21,11.35,24.91,22.65,26.53,11.55,8.46,18.75,17.41,22.47,0,0,0,0,0,0.28,0.33,39.58,42.46,54.21,46.53,33.89,15.99,20.44,36.76,46.53,33.89,15.99,20.44,36.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,227.40","7,976.19",0,0,0,23.59,38.58,0,0,0,39.02,74.92,0,0,0,24.97,40.96,0,0,0,0,0,0,0,0,6.7,9.9,0,0,0,24.97,40.96,0,0,0,0.02,0.01,0,0,0
Krishna Institute of Medical Sciences Ltd.,31.55,35.04,25.2,16.26,-6.31,31.55,35.04,24.77,16.26,-6.31,37.21,40.4,30.06,21.99,-0.36,203.79,172.13,116.93,83.75,67.61,203.79,172.13,116.93,83.75,67.61,0,0,0,0,0,141.45,142.87,120.2,106.05,94.9,47.96,52.53,40.42,28.16,8.18,42.3,46.92,34.67,22.43,2.68,42.15,46.36,32.77,19.67,-1.8,31.55,34.78,24.31,16.26,-5.86,33.9,36.76,33.62,26.54,8.61,29.9,32.83,28.84,21.14,2.82,29.79,32.44,27.26,18.54,-1.89,22.3,24.34,20.22,15.33,-6.17,15.48,20.2,20.79,19.41,-8.66,20,26.17,26.28,20.38,2.79,13.93,17.74,15.54,12.64,-5.09,0,0.01,0.13,0.24,0.32,0.67,0.82,0.86,0.87,0.86,1.98,2.47,1.93,1.23,1.12,1.82,2.27,1.85,1.07,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,217.60","10,882.11",0,0,0,9.91,9.52,0,0,0,29.23,25.89,0,0,0,9.94,9.66,0,0,0,0,0,0,0,0,6.9,8.02,0,0,0,9.94,9.66,0,0,0,0.02,0.03,0,0,0
Laurus Labs Ltd.,14.12,13.97,17.85,25.03,8.94,14.12,13.97,17.77,25.03,8.92,19.7,18.34,21.48,42.17,24.01,75.31,63.05,50.54,169.84,149.47,75.31,63.05,50.54,169.84,149.47,2,2,2,2.5,1.5,107.18,87.6,88.87,261.64,210.09,27.8,24.17,28.65,53.88,34.45,22.22,19.79,24.98,36.68,19.37,19.52,18.15,23.75,28.48,11.39,14.12,13.96,17.82,24.98,8.92,25.94,27.59,32.23,20.59,16.39,20.73,22.58,28.11,14.02,9.22,18.21,20.72,26.72,10.88,5.42,13.17,15.93,20.04,9.54,4.24,18.74,22.13,35.25,14.7,5.97,24.67,25.46,40.95,18.65,10.63,10.92,11.35,16.99,7.14,2.86,0.41,0.48,0.46,0.51,0.58,0.85,0.77,84.77,74.8,67.38,1.51,1.32,1.29,1.09,1.04,0.76,0.62,0.64,0.54,0.56,1.54,1.42,3.11,3.13,3.36,0,11.44,7.84,11.98,16.74,0,8.71,6.5,7.09,6.22,0,88.56,92.16,88.02,83.26,0,91.29,93.5,92.91,93.78,"17,462.13","33,285.44","20,648.36","4,375.56","5,170.59",3.02,7.07,4.33,1.56,2.31,11.66,25.63,13.43,7.6,14.1,2.73,6.74,4.07,1.23,1.9,0,88.55,92.15,88.01,83.25,3.89,9.36,7.16,1.9,2.67,2.73,6.74,4.07,1.23,1.9,0.05,0.02,0.05,0.08,0.02
L&T Finance Holdings Ltd.,10.38,0.88,0.54,1.33,1.34,10.35,0.88,0.53,1.33,1.33,10.37,0.88,0.47,1.33,1.34,55.46,45.56,44.59,39.13,39.18,55.46,45.56,44.59,39.13,39.18,2,0.5,0,0.9,1,1.4,1.36,0.69,2.37,2.41,1.17,1.33,0.64,2.42,2.53,1.17,1.33,0.64,2.42,2.53,12.67,1.03,0.76,1.42,1.52,10.37,0.88,0.47,1.33,1.34,83.31,97.74,92.05,102,104.99,83.24,97.63,91.71,101.9,104.97,904.28,75.75,110.23,59.67,63.06,740.33,64.95,67.76,56.11,55.39,18.69,1.93,1.05,3.4,3.41,2.1,2.87,1.22,4.38,5.03,18.57,1.9,0.9,2.35,2.65,0,0.01,0.16,0.44,0.15,0.03,0.03,1.33,4.19,4.79,147.12,483.57,701.89,37.7,"1,679.92",147.12,483.57,701.89,37.7,"1,679.92",0,0,0,0,0,0,0,0,142.6,74.77,0,0,0,142.34,74.74,0,0,0,-42.6,25.23,0,0,0,-42.34,25.26,"20,281.15","19,861.80","23,990.21","13,762.24","32,669.27",58.38,59.14,140.08,28.95,67.76,70.08,60.5,152.17,28.38,64.54,58.56,59.33,138.06,21.67,63.21,0,0,0,-42.6,25.22,1.48,1.77,2.15,1.31,3.89,58.59,59.36,138.17,21.68,63.23,0.13,0.01,0,0.03,0.01
L&T Technology Services Ltd.,105.18,87.26,64.25,75.82,67.72,104.87,87.08,63.83,74.99,66.67,124.44,104.37,80.65,90.28,74.35,444.37,377.4,318.1,250.72,234.22,444.37,377.4,318.1,250.72,234.22,45,35,22,21,21,673.75,556.75,472.76,495.82,453.08,170.53,139.6,105.93,119,97.65,151.35,122.29,89.39,104.32,90.63,147.63,118.56,85.25,100.96,90.52,105.25,87.06,64.1,75.6,67.32,25.31,25.07,22.4,23.99,21.55,22.46,21.96,18.9,21.03,20,21.91,21.29,18.03,20.36,19.97,15.62,15.63,13.55,15.24,14.85,23.68,23.06,20.15,30.15,28.74,31.34,28.81,24.63,35.15,38.59,17.19,16.09,13.96,19.35,21.7,0.07,0,0,0.01,0.02,1.17,1.12,102.98,126.93,146.09,3.49,3.27,3.28,2.83,2.9,3.49,3.27,3.28,2.83,2.9,0,0,0,0,0,0,39.55,32.65,27.68,28.91,0,32.99,25.95,23.18,26.17,0,60.45,67.35,72.32,71.09,0,67.01,74.05,76.82,73.83,"35,351.38","53,209.93","27,675.20","11,943.88","16,190.44",4.97,9.06,5.58,2.31,3.44,19.65,36.13,24.88,9.61,15.94,5.01,9.16,5.62,2.34,3.47,0,60.44,67.34,72.31,71.08,7.6,13.52,8.35,4.64,6.71,5.01,9.16,5.62,2.34,3.47,0.03,0.02,0.02,0.07,0.04
KSB Ltd.,51.5,42.12,27.96,28.1,21.27,51.5,42.12,27.96,28.1,21.27,64.51,54.62,39.96,41.24,32.66,314.03,276.97,243.17,224.29,204.91,314.03,276.97,243.17,224.29,204.91,15,12.5,8.5,8,6,523.43,430.16,347.08,371.73,314.03,83.91,70.63,57.49,50.53,44.56,70.91,58.12,45.49,37.39,33.16,69.15,56.68,44.51,39.53,32.08,51.5,42.12,27.96,28.1,21.27,16.03,16.41,16.56,13.59,14.18,13.54,13.51,13.1,10.05,10.55,13.21,13.17,12.82,10.63,10.21,9.83,9.79,8.05,7.56,6.77,16.4,15.2,11.49,12.53,10.37,21.68,19.87,17.73,15.81,15.39,10.1,9.38,6.5,7.04,6.14,0,0,0.07,0.08,0.06,1.09,0.98,0.84,93.23,90.67,2.01,2.06,1.81,1.75,1.77,1.12,1.28,1.21,1.17,1.1,1.82,1.84,1.61,3.98,3.61,24.27,20.18,28.6,21.34,28.21,19.37,15.56,20.01,14.54,18.36,75.73,79.82,71.4,78.66,71.79,80.63,84.44,79.99,85.46,81.64,"6,480.97","3,876.06","1,908.06","2,119.54","2,617.60",3.56,2.59,1.58,1.64,2.39,22.19,15.77,9.54,12.05,16.88,3.7,2.83,1.86,1.82,2.48,75.72,79.81,71.39,78.65,71.78,6.17,4.39,2.66,3.01,3.8,3.7,2.83,1.86,1.82,2.48,0.03,0.03,0.04,0.04,0.03
KRBL Ltd.,29.77,19.54,23.8,23.76,21.38,29.77,19.54,23.8,23.76,21.38,32.98,22.69,26.86,26.86,24.11,199,172.61,156.55,132.48,115.44,199,172.61,156.55,132.48,115.44,0,3.5,3.5,2.8,2.5,227.83,178.87,169.58,191.11,175,43.81,29.96,35.95,37.98,36.75,40.6,26.81,32.89,34.89,34.02,39.97,26.24,31.89,32.23,31.15,29.77,19.54,23.8,23.76,21.38,19.22,16.75,21.19,19.87,21,17.81,14.99,19.39,18.25,19.43,17.54,14.67,18.8,16.86,17.79,13.06,10.92,14.03,12.43,12.21,14.95,11.32,15.2,17.93,18.51,19.69,14.84,19.89,24.43,27.58,12.55,9.7,12.12,12.67,10.87,0.05,0.02,0.08,0.15,0.52,1.04,0.9,86.41,101.93,89.04,6.35,7.39,4.68,3.01,2.07,0.61,1.6,0.61,0.3,0.26,1.25,1.02,1.35,1.58,1.32,0,17.9,0,22.3,10.75,0,15.42,0,19.73,9.53,0,82.1,0,77.7,89.25,0,84.58,0,80.27,90.47,"8,350.33","4,442.33","4,355.18","3,639.31","9,365.52",1.56,1.06,1.09,0.81,2.27,8.1,6.3,5.15,4.07,10.82,1.52,1.13,1.06,0.71,1.93,0,82.09,0,77.69,89.24,1.74,1.17,1.15,1.03,2.93,1.52,1.13,1.06,0.71,1.93,0.09,0.1,0.13,0.17,0.06
KPR Mill Ltd.,18.57,21.24,62.87,41.37,39.82,18.57,21.24,62.87,41.37,39.82,20.85,23.44,77.09,57.18,53.05,86.98,76.49,277.03,218.67,208.27,86.98,76.49,277.03,218.67,208.27,4,0.15,4.5,4.5,0.75,138.66,118.39,429.18,421.11,410.49,27.18,31.05,102.06,74.25,75.03,24.91,28.85,87.83,59.88,61.83,24.13,28.47,84.98,54.73,56.88,18.58,21.24,62.86,42.81,39.84,19.6,26.23,23.77,17.63,18.27,17.96,24.37,20.46,14.21,15.06,17.4,24.04,19.79,12.99,13.85,13.39,17.93,14.64,10.16,9.7,21.36,27.76,22.69,19.57,19.13,28.05,37.1,30.84,25.45,27.19,16.39,21.75,17.4,13.46,12.06,0.17,0.16,0.17,0.31,0.42,1.31,1.39,118.83,132.5,124.24,2.45,2.74,2.73,2.09,1.91,0.98,1.49,1.42,1.22,0.93,2.92,2.95,4.28,5.86,4.08,0,0.7,7.15,10.6,1.88,0,0.63,5.83,7.93,1.41,0,99.3,92.85,89.4,98.12,0,99.37,94.17,92.07,98.59,"20,129.24","21,758.32","7,591.09","2,649.93","4,730.72",4.25,5.34,2.57,0.91,1.59,21.67,20.36,10.81,5.19,8.69,4.15,5.26,2.48,0.8,1.4,0,99.29,92.84,89.39,98.11,6.62,8.15,3.84,1.55,2.75,4.15,5.26,2.48,0.8,1.4,0.03,0.03,0.06,0.13,0.07
Kotak Mahindra Bank Ltd.,54.89,43.02,35.17,30.88,25.52,54.87,43.01,35.14,30.84,25.48,55.07,45.11,36.99,33.03,27.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.07,43.19,35.14,31.09,25.49,,,,,,,,,,,,,,,,31.93,31.7,25.94,22.08,20.32,,,,,,,,,,,2.23,1.99,1.81,1.65,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,96.7,,,,,,,,,,,,,,,
Kalpataru Projects International Ltd.,32.69,34.61,40.57,30.02,26.15,32.69,34.61,40.57,30.02,26.15,51.63,41.65,49.01,37.07,31.75,332.44,292.9,259.42,228.54,205.41,332.44,292.9,259.42,228.54,205.41,7,6.5,10,3.5,3,896.06,474.26,515.16,510.93,463.64,79.56,49.25,59.51,59.37,54.05,61.13,42.21,51.82,52.23,48.44,46.13,48.49,55.83,43.03,40.69,33.19,34.61,41.32,29.93,26.15,8.87,10.38,11.55,11.61,11.65,6.82,8.9,10.05,10.22,10.44,5.14,10.22,10.83,8.42,8.77,3.7,7.29,8.02,5.85,5.64,9.98,11.81,15.92,13.09,12.73,14.39,12.25,17.27,19.64,19.24,2.99,5,6.37,4.79,4.86,0.55,0.38,0.25,0.33,0.19,1.02,0.71,79.42,81.86,86.22,1.27,1.6,1.42,1.35,1.5,1.17,1.48,1.3,1.22,1.36,7.64,4.88,12.82,10.7,11.44,0,4.33,20.57,25.73,9.56,0,3.6,17.34,20.77,7.87,0,95.67,79.43,74.27,90.44,0,96.4,82.66,79.23,92.13,"10,638.60","6,389.34","6,280.75","3,648.11","7,667.40",0.74,0.9,0.82,0.46,1.08,8.36,8.71,7.09,3.97,9.24,0.6,0.77,0.73,0.36,1.01,0,95.66,79.42,74.26,90.43,1.61,1.25,1.45,0.79,2.29,0.6,0.77,0.73,0.36,1.01,0.06,0.09,0.11,0.16,0.06
KPIT Technologies Ltd.,10.37,8.83,3.48,6.64,11.23,10.26,8.73,3.46,6.62,11.2,13.71,11.84,6.86,9.75,3.36,51.18,45.14,38.96,38.11,34.39,51.18,45.14,38.96,38.11,34.39,4.1,3.1,1.5,1,0.75,56.09,43.74,29.84,35.53,8.58,17.41,13.67,7.28,11.15,4.23,14.06,10.64,3.89,8.04,3.64,13.52,10.24,3.69,7.34,3.03,10.36,8.82,3.48,6.64,2.77,31.04,31.24,24.4,31.38,49.26,25.07,24.33,13.05,22.62,42.41,24.1,23.41,12.37,20.66,35.35,18.47,20.16,11.64,18.68,32.32,20.24,19.53,8.92,17.41,8.06,25.89,20.83,9.36,19.37,9.96,15.38,13.81,7.08,13.46,6,0,0,0,0.02,0.11,0.86,0.78,60.83,72.07,18.59,1.69,2.51,3.42,2.11,2.13,1.69,2.51,3.42,2.11,2.13,0,0,0,"9,55,250.00",250.87,0,31.13,0,26.35,0,0,23.18,0,17.93,0,0,68.87,0,73.65,0,0,76.82,0,82.07,0,"24,912.65","15,781.11","4,455.81",924.36,0,16.43,13.36,5.55,0.97,0,52.92,42.77,22.75,3.08,0,16.49,13.74,5.93,1,0,0,68.86,0,73.64,0,18.07,13.31,4.54,0.93,0,16.49,13.74,5.93,1,0,0.01,0.01,0.02,0.19,0
KFin Technologies Ltd.,11.69,,,,,5.82,,,,,14.16,,,,,51.51,,,,,51.51,,,,,0,,,,,41.15,,,,,18.52,,,,,15.96,,,,,15.33,,,,,11.6,,,,,45,,,,,38.77,,,,,37.24,,,,,28.17,,,,,22.51,,,,,26.53,,,,,15.77,,,,,0.15,,,,,0.62,,,,,1.98,,,,,1.98,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,"4,794.78",,,,,6.88,,,,,15.3,,,,,6.8,,,,,0,,,,,5.43,,,,,6.8,,,,,0.04,,,,
Mahindra and Mahindra Ltd.,54.7,41.28,2.25,11.16,40.29,54.49,41.28,2.24,11.12,40.13,80.99,61.73,20.94,29.78,55.86,361.88,325.6,288.77,288.91,287.09,361.88,325.6,288.77,288.91,287.09,16.25,11.55,8.75,2.35,8.5,709.12,480.08,376.98,381.28,449.93,108.4,76.2,64.68,62.58,69.89,82.07,55.72,45.99,43.95,54.28,67.86,52.11,12.22,26.12,53.08,54.66,41.24,2.25,11.15,40.25,15.28,15.87,17.15,16.41,15.53,11.57,11.6,12.19,11.52,12.06,9.57,10.85,3.24,6.85,11.79,7.7,8.59,0.59,2.92,8.94,15.1,12.66,0.77,3.86,14.01,19.76,13.8,12.35,13.26,16.86,8.64,7.35,0.45,2.63,9.1,0.12,0.17,0.21,0.09,0.07,1.19,0.91,75.58,90.07,101.74,1.33,1.38,1.34,1.38,1.26,0.99,1.06,1.08,1.07,0.99,8.43,8.23,11.39,13.38,13.96,0,22.04,108.74,89.23,19.43,0,14.72,11.67,33.41,14,0,77.96,-8.74,10.77,80.57,0,85.28,88.33,66.59,86,"1,39,349.65","99,261.45","95,836.31","32,697.16","78,800.35",1.64,1.73,2.13,0.72,1.47,10.73,10.89,12.4,4.38,9.46,1.63,1.68,2.11,0.75,1.49,0,77.95,-8.74,10.76,80.56,3.2,2.47,2.75,0.99,2.34,1.63,1.68,2.11,0.75,1.49,0.05,0.05,0,0.04,0.06
KEI Industries Ltd.,52.95,41.8,30.46,31.51,23.12,52.87,41.59,30.17,31.05,22.88,59.26,47.91,36.85,34.84,27.34,287.06,236.98,197.83,168.34,98.69,287.06,236.98,197.83,168.34,98.69,3,2.5,2,1.5,1.2,766.42,635.54,465.36,545.7,535.57,81.37,66.99,53.48,57.26,56.94,75.04,60.83,47.05,50.93,52.64,71.19,56.35,40.67,36.5,35.39,52.93,41.75,30.42,28.5,23.04,10.61,10.54,11.49,10.49,10.63,9.79,9.57,10.1,9.33,9.82,9.28,8.86,8.73,6.68,6.6,6.9,6.56,6.53,5.22,4.3,18.43,17.61,15.37,16.93,23.34,25.51,24.97,22.58,28.2,43.68,12.66,10.66,9.06,7.8,6.57,0.05,0.16,0.16,0.21,0.65,1.89,1.75,138.75,149.42,152.91,2.83,2.22,2.14,1.63,1.23,1.84,1.41,1.47,1.1,0.85,4.73,4.91,5.44,5.65,6.13,0,5.98,6.57,8.97,4.3,0,5.21,5.42,7.34,3.63,0,94.02,93.43,91.03,95.7,0,94.79,94.58,92.66,96.37,"14,925.88","11,364.22","4,760.47","2,497.29","3,669.58",2.16,1.98,1.14,0.51,0.87,20.34,18.83,9.91,4.87,8.17,2.22,1.99,1.12,0.49,0.79,0,94.01,93.42,91.02,95.69,5.92,5.34,2.64,1.59,4.31,2.22,1.99,1.12,0.49,0.79,0.03,0.03,0.06,0.11,0.05
KNR Constructions Ltd.,17.74,13.58,8.68,16.02,18.72,17.74,13.58,8.68,16.02,18.72,22.98,18.36,13.82,29.66,30.68,97.22,79.72,66.42,115.48,100.58,97.22,79.72,66.42,115.48,100.58,0.25,0.25,0.25,0.5,0.4,133.12,116.37,96.1,159.6,151.99,26.8,25.58,20.82,38.66,34.87,21.56,20.8,15.68,25.02,22.92,25.07,20.58,13.55,20.88,20.67,17.74,13.58,8.68,16.02,18.72,20.13,21.98,21.66,24.22,22.94,16.19,17.87,16.32,15.67,15.07,18.83,17.68,14.1,13.08,13.59,13.32,11.66,9.03,10.03,12.31,18.24,17.02,13.07,13.86,18.61,21.94,25.77,23.36,19.3,19.48,13.48,11.46,8.36,8.28,11.59,0,0,0,0.13,0.17,1.07,1.05,92.53,82.57,94.13,2.57,2.03,1.71,1.85,1.47,2.32,1.82,1.57,1.72,1.31,6.48,6.3,18.26,18.22,22.48,0,1.84,0,5.61,2.13,0,1.36,0,3.03,1.3,0,98.16,0,94.39,97.87,0,98.64,0,96.97,98.7,"6,933.93","7,819.39","5,877.91","2,942.78","3,884.74",1.85,2.39,2.17,1.31,1.82,9.2,10.87,10.04,5.41,7.92,1.91,2.44,2.22,1.23,1.71,0,98.15,0,94.38,97.86,2.61,3.57,3.21,1.7,2.59,1.91,2.44,2.22,1.23,1.71,0.07,0.05,0.04,0.08,0.07
Kennametal India Ltd.,52.11,30.29,14.79,39.24,23.78,52.11,30.29,14.79,39.24,23.78,68.27,47.45,30.32,51.95,36.57,288.36,260.64,250.09,235.86,199.62,288.36,260.64,250.09,235.86,199.62,24,20,0,2,2,450.32,368.82,291.55,421.32,360.84,85.77,58.41,36.41,68.23,49.5,69.55,41.23,20.86,55.5,36.72,69.55,40.64,18.36,55.27,33.21,52.05,30.27,14.77,39.23,23.78,19.04,15.83,12.48,16.19,13.71,15.44,11.17,7.15,13.17,10.17,15.44,11.01,6.29,13.11,9.2,11.55,8.2,5.06,9.31,6.58,18.04,11.61,5.9,16.63,11.91,23.83,15.71,8.25,23.19,18.17,13.99,8.7,4.72,11.43,8.41,0,0,0.02,0.02,0,1.25,106.09,93.15,122.81,127.64,2.64,2.34,2.59,1.95,2.25,1.13,1.25,1.1,1.06,1.37,1.25,3.96,3.24,4.56,5.09,46.02,66.06,0,5.09,8.41,35.08,42.14,0,3.84,5.47,53.98,33.94,0,94.91,91.59,64.92,57.86,0,96.16,94.53,"4,081.03","2,560.71","1,616.44","2,434.72","1,551.44",4.12,3.16,2.52,2.63,1.96,21.63,19.93,20.18,16.22,14.26,4.17,3.3,2.56,2.66,2.08,53.97,33.93,0,94.9,91.58,6.51,4.67,2.99,4.76,3.75,4.17,3.3,2.56,2.66,2.08,0.03,0.02,0.02,0.03,0.03
